video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=NypJrZlXNlk&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm3SBwkJkQoBhyohjO8%3D,/@KVUETV,KVUE,Austin considers new short-term rental rules,672,11 months,Austin city leaders got feedback from the community about a proposal to change the rules for short-term rentals. Here's what ...,2026-02-03 04:17:22.882874
/watch?v=jLcmRbEMd-8&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Environmental group sues Austin over massive redevelopment project at old Statesman building,166,1 year,An environmental group is suing the city of Austin over plans for a piece of property right next to Lady Bird Lake. Read more: ...,2026-02-03 04:17:22.884246
/watch?v=luxu6ZDn_oE&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm3SBwkJkQoBhyohjO8%3D,/@KVUETV,KVUE,"Flow of people moving to Austin slowed significantly in 2024, data shows",254,9 months,Analysts with Redfin say a slowdown in new Texans is due in part to the rising cost of housing. Austin saw one of the biggest ...,2026-02-03 04:17:22.886882
/watch?v=RKn3FeTW7oE&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Future of HealthSouth property in Austin unclear | KVUE,501,2 years,The future of a major affordable housing project in Downtown Austin is uncertain. The HealthSouth property deal was recently ...,2026-02-03 04:17:22.889866
/watch?v=CRyQNulKvm8&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,New City of Austin program aims to help residents at risk of being forced out of their homes | KVUE,5K,2 years,"The Displacement Prevention Navigator Pilot Program will bring in what they call ""Navigators,"" who will go door-to-door to help ...",2026-02-03 04:17:29.967145
/shorts/NGBQXZdfu0s,/@CBSAustin,CBS Austin,Austin ISD families are demanding a stronger voice in a proposed consolidation plan,843,3 months,Austin ISD families are demanding a stronger voice in a proposed consolidation plan that could affect nearly every school in the ...,2026-02-03 04:17:29.968850
/watch?v=cNF_qNl98jY&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@TexasPublicPolicyFoundation,Texas Public Policy Foundation,Taxpayer Empowerment | Episode 18: Make Homeownership Attainable Again with AEI's Ed Pinto,4.4K,1 month,"The conversation explores practical solutions, including free-market housing reforms, zoning reform, and policy changes that can ...",2026-02-03 04:17:29.970313
/watch?v=vSj4VJBEgLM&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Phase 1 of Austin's Congress Avenue redesign begins,1K,3 days,Phase 1 of the Congress Avenue Urban Design Initiative started on Friday and won't wrap up until next year. Read more: ...,2026-02-03 04:17:29.971772
/watch?v=dr55y9yTdDg&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,Austin leaders break ground on new supportive housing facility,55,3 months,The Works Three at Tillery will feature 120 units and will be available to young people who earn 30 to 50% of the median family ...,2026-02-03 04:17:29.973028
/watch?v=XoLwEYHhzsA&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,‘Unintended consequences’: Austin reworking affordable housing incentive program,307,7 months,"For months, residents at Acacia Cliffs Apartments — near MoPac and Far West Boulevard — have been fighting a rezoning ...",2026-02-03 04:17:29.975003
/watch?v=FzkF9WatNoY&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,Austin mayor pro tem talks potential local impact of federal grant pause,2.6K,1 year,"The pause could potentially stop hundreds of billions of dollars in federal spending on housing assistance, disaster relief, ...",2026-02-03 04:17:29.976407
/watch?v=z-qc-IVnPuc&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@kxan_news,KXAN,‘Deeply concerned’: Neighbor reacts to Austin housing navigation center relocation plan,820,4 months,Read more ...,2026-02-03 04:17:29.977735
/watch?v=_K_LmbXXVbQ&t=1787s&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@AIAAustin,AIA Austin,"AIA Austin COTE - Environmental Justice: Acknowledging the Past, Envisioning the Future",28,4 years,"Architects play a critical role designing communities. They strive to account for context and existing conditions. However, their ...",2026-02-03 04:17:29.979906
/watch?v=0JX8CBBsrZs&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@FOX7Austin,FOX 7 Austin,Construction begins on Congress Ave redesign project in Downtown Austin,595,3 days,Drivers will see construction on Congress Avenue in Downtown Austin for the next year and a half.,2026-02-03 04:17:29.981450
/watch?v=pACiJdTOJnY&pp=ygUUYXVzdGluIHpvbmluZyByZWZvcm0%3D,/@KVUETV,KVUE,City of Austin moving forward with plans to redesign Congress Avenue,750,3 months,The city of Austin is moving forward with construction for the Congress Avenue Urban Design Initiative. Subscribe to our channel: ...,2026-02-03 04:17:29.982911
